"filename", "language", "C++", "Batch", "Markdown", "Lua", "Python", "YAML", "C", "CMake", "XML", "Objective-C++", "HTML", "GLSL", "Groovy", "Shell Script", "comment", "blank", "total"
"c:\GitHub\Terraria-Clone\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\GitHub\Terraria-Clone\build.bat", "Batch", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\GitHub\Terraria-Clone\customHeaders\random.h", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 25
"c:\GitHub\Terraria-Clone\customHeaders\vec2d.cpp", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\GitHub\Terraria-Clone\customHeaders\vec2d.h", "C++", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32, 167
"c:\GitHub\Terraria-Clone\customHeaders\vec2f.cpp", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\GitHub\Terraria-Clone\customHeaders\vec2f.h", "C++", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34, 185
"c:\GitHub\Terraria-Clone\customHeaders\vec2i.cpp", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\GitHub\Terraria-Clone\customHeaders\vec2i.h", "C++", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24, 129
"c:\GitHub\Terraria-Clone\execution.bat", "Batch", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\GitHub\Terraria-Clone\foreignHeaders\FastNoiseLite.h", "C++", 1963, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 233, 391, 2587
"c:\GitHub\Terraria-Clone\imgui-master\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\GitHub\Terraria-Clone\imgui-master\.github\ISSUE_TEMPLATE\config.yml", "YAML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\GitHub\Terraria-Clone\imgui-master\.github\ISSUE_TEMPLATE\issue_template.yml", "YAML", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 93
"c:\GitHub\Terraria-Clone\imgui-master\.github\pull_request_template.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11
"c:\GitHub\Terraria-Clone\imgui-master\.github\workflows\manual.yml", "YAML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 13
"c:\GitHub\Terraria-Clone\imgui-master\.github\workflows\scheduled.yml", "YAML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 16
"c:\GitHub\Terraria-Clone\imgui-master\.github\workflows\static-analysis.yml", "YAML", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 47
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_allegro5.cpp", "C++", 514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 66, 699
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_allegro5.h", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 9, 45
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_android.cpp", "C++", 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 25, 309
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_android.h", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 7, 38
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_dx10.cpp", "C++", 512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 63, 666
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_dx10.h", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 10, 50
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_dx11.cpp", "C++", 527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 65, 686
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_dx11.h", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 53
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_dx12.cpp", "C++", 757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 122, 1011
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_dx12.h", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 16, 90
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_dx9.cpp", "C++", 347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 52, 481
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_dx9.h", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 38
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_glfw.cpp", "C++", 823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 94, 1095
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_glfw.h", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 13, 72
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_glut.cpp", "C++", 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 28, 310
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_glut.h", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 8, 48
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_metal.h", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 20, 79
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_metal.mm", "Objective-C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 487, 0, 0, 0, 0, 76, 92, 655
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_null.cpp", "C++", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 17, 103
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_null.h", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 35
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_opengl2.cpp", "C++", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 42, 353
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_opengl2.h", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 9, 44
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_opengl3.cpp", "C++", 751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 215, 101, 1067
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_opengl3.h", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 14, 69
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_opengl3_loader.h", "C++", 795, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 63, 959
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_osx.h", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 13, 55
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_osx.mm", "Objective-C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 608, 0, 0, 0, 0, 129, 102, 839
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_sdl2.cpp", "C++", 685, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 171, 73, 929
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_sdl2.h", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 10, 58
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_sdl3.cpp", "C++", 677, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 79, 888
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_sdl3.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 9, 55
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_sdlgpu3.cpp", "C++", 501, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 100, 691
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_sdlgpu3.h", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 12, 66
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_sdlgpu3_shaders.h", "C++", 397, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 407
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_sdlrenderer2.cpp", "C++", 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 43, 301
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_sdlrenderer2.h", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 11, 54
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_sdlrenderer3.cpp", "C++", 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 45, 317
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_sdlrenderer3.h", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 11, 54
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_vulkan.cpp", "C++", 1453, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 271, 183, 1907
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_vulkan.h", "C++", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 36, 275
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_wgpu.cpp", "C++", 857, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 120, 1090
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_wgpu.h", "C++", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 19, 131
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_win32.cpp", "C++", 752, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 78, 1002
"c:\GitHub\Terraria-Clone\imgui-master\backends\imgui_impl_win32.h", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 10, 54
"c:\GitHub\Terraria-Clone\imgui-master\backends\sdlgpu3\shader.frag", "GLSL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\GitHub\Terraria-Clone\imgui-master\backends\sdlgpu3\shader.vert", "GLSL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\GitHub\Terraria-Clone\imgui-master\backends\vulkan\generate_spv.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 1, 7
"c:\GitHub\Terraria-Clone\imgui-master\backends\vulkan\glsl_shader.frag", "GLSL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\GitHub\Terraria-Clone\imgui-master\backends\vulkan\glsl_shader.vert", "GLSL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\GitHub\Terraria-Clone\imgui-master\docs\BACKENDS.md", "Markdown", 0, 0, 302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 379
"c:\GitHub\Terraria-Clone\imgui-master\docs\CONTRIBUTING.md", "Markdown", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 82
"c:\GitHub\Terraria-Clone\imgui-master\docs\EXAMPLES.md", "Markdown", 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 257
"c:\GitHub\Terraria-Clone\imgui-master\docs\FAQ.md", "Markdown", 0, 0, 675, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 855
"c:\GitHub\Terraria-Clone\imgui-master\docs\FONTS.md", "Markdown", 0, 0, 473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 638
"c:\GitHub\Terraria-Clone\imgui-master\docs\README.md", "Markdown", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 231
"c:\GitHub\Terraria-Clone\imgui-master\examples\example_allegro5\README.md", "Markdown", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 37
"c:\GitHub\Terraria-Clone\imgui-master\examples\example_allegro5\example_allegro5.vcxproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 185
"c:\GitHub\Terraria-Clone\imgui-master\examples\example_allegro5\imconfig_allegro5.h", "C++", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 12
"c:\GitHub\Terraria-Clone\imgui-master\examples\example_allegro5\main.cpp", "C++", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 23, 152
"c:\GitHub\Terraria-Clone\imgui-master\examples\example_android_opengl3\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 8, 41
"c:\GitHub\Terraria-Clone\imgui-master\examples\example_android_opengl3\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"c:\GitHub\Terraria-Clone\imgui-master\examples\example_android_opengl3\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 2, 23
"c:\GitHub\Terraria-Clone\imgui-master\examples\example_android_opengl3\main.cpp", "C++", 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 70, 386
